==== bench-matrix run 2026-05-03T03:50:10+00:00 RUNS=3 FRAMES=240 ====
rule: no -flto in a_flags; LDFLAGS=-fno-lto for all.so
P2C_gcc-15_fnostackprotector                       size=3575872 best=101.35025910842991 median=101.24712724337955 mean=100.989 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ -fno-stack-protector
P2C_gcc-15_funrollloopsfnostackprote               size=4153408 best=101.02229510230717 median=97.30910062133194 mean=98.482 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ -funroll-loops\ -fno-stack-protector
P2C_gcc-15_fpredictivecommoning                    size=3575872 best=102.3901967597271 median=101.879697368858 mean=102.026 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ -fpredictive-commoning
P2C_gcc-15_fnotreevectorize                        size=3567680 best=103.33634596920261 median=102.87113450552089 mean=102.597 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ -fno-tree-vectorize
P2C_gcc-15_Ofastmarchnative                        size=4166216 best=99.95207742733962 median=99.70529442588258 mean=99.411 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-Ofast\ -march=native
P2C_gcc-16_baseline                                size=3686520 best=101.8310305476299 median=100.24242182890698 mean=97.824 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O3 a=-O2\ -march=native\ 
P2C_gcc-16_funrollloops                            size=4259960 best=100.27837052185703 median=98.12923160667141 mean=98.638 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O3 a=-O2\ -march=native\ -funroll-loops
P2C_gcc-16_fpeelloops                              size=3686520 best=102.48829978294046 median=101.62558018303606 mean=101.341 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O3 a=-O2\ -march=native\ -fpeel-loops
P2C_gcc-16_funrollallloops                         size=4268152 best=100.23055365155992 median=99.63016617060939 mean=99.599 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O3 a=-O2\ -march=native\ -funroll-all-loops
P2C_gcc-16_fipapta                                 size=3686520 best=101.53603257415253 median=100.7802767390309 mean=100.743 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O3 a=-O2\ -march=native\ -fipa-pta
