## libgc baseline
libgc	fib	6.34	3712
libgc	fib_pair	0.97	4352
libgc	fannkuch	0.68	4992
libgc	ackermann	6.60	10496
libgc	binary_trees	0.83	288000
libgc	gc_combined	0.91	5760
libgc	hash_chain	1.48	18048
libgc	list_alloc	0.89	4352
libgc	json_parse	1.14	4992
libgc	chain_add	1.09	3584
## none
none	fib	6.79	2432
none	fib_pair	1.50	837888
none	fannkuch	0.76	57856
none	ackermann	7.27	8320
none	binary_trees	0.65	264576
none	gc_combined	1.29	784000
none	hash_chain	1.28	14080
none	list_alloc	1.27	783616
none	json_parse	1.81	966784
none	chain_add	1.20	2432
## mark
mark	fib	6.77	2560
mark	fib_pair	0.88	24192
mark	fannkuch	0.73	31616
mark	ackermann	7.24	8448
mark	binary_trees	0.81	264960
mark	gc_combined	0.82	27520
mark	hash_chain	1.15	20736
mark	list_alloc	0.76	27008
mark	json_parse	0.95	24448
mark	chain_add	1.16	2432
## mark_gen
mark_gen	fib	6.91	2560
mark_gen	fib_pair	1.00	29824
mark_gen	fannkuch	0.75	33792
mark_gen	ackermann	7.10	8576
mark_gen	binary_trees	0.71	264576
mark_gen	gc_combined	1.29	784000
mark_gen	hash_chain	1.34	14080
mark_gen	list_alloc	1.28	783616
mark_gen	json_parse	1.73	967040
mark_gen	chain_add	1.26	2432
## mark_gen_inc
mark_gen_inc	fib	6.22	2432
mark_gen_inc	fib_pair	0.98	29952
mark_gen_inc	fannkuch	0.72	33792
mark_gen_inc	ackermann	6.50	8320
mark_gen_inc	binary_trees	1.20	276096
mark_gen_inc	gc_combined	0.87	31892
mark_gen_inc	hash_chain	1.07	23424
mark_gen_inc	list_alloc	0.83	31232
mark_gen_inc	json_parse	1.06	29952
mark_gen_inc	chain_add	1.22	2432
## copy
copy	fib	6.15	2560
copy	fib_pair	0.82	35200
copy	fannkuch	0.72	35072
copy	ackermann	7.14	8448
copy	binary_trees	0.64	346368
copy	gc_combined	0.74	35712
copy	hash_chain	1.12	13568
copy	list_alloc	0.69	35200
copy	json_parse	0.89	35328
copy	chain_add	1.28	2432
## copy_gen
copy_gen	fib	6.80	2432
copy_gen	fib_pair	0.78	34944
copy_gen	fannkuch	0.71	35200
copy_gen	ackermann	7.06	8320
copy_gen	binary_trees	1.11	411904
copy_gen	gc_combined	0.71	35584
copy_gen	hash_chain	1.08	13568
copy_gen	list_alloc	0.66	35200
copy_gen	json_parse	0.90	35328
copy_gen	chain_add	1.23	2432
## mark_compact
mark_compact	fib	6.83	2432
mark_compact	fib_pair	0.98	18688
mark_compact	fannkuch	0.72	18816
mark_compact	ackermann	7.03	8576
mark_compact	binary_trees	FAIL	FAIL
mark_compact	gc_combined	0.87	19328
mark_compact	hash_chain	1.28	16000
mark_compact	list_alloc	0.82	18688
